@annakiss I'm based in the Netherlands. But still on my bucket-list is a trip to the UK/London. I think otherwise of the photogenic part 	4
cold and flu tablets = EPIC FAIL. they dont even work 	0
@cassandra2603 God what a cheery chat has he somehow can back into the news ? I know about Vera Drake hmm not pleasant  x	0
man... I'll miss the JRuby on Google App Engine talk at #railsconf 	0
@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...	4
@kd0bik not great this morning... got a stomach bug and was sick.... but doing better now, just laying in bed reading tweets! 	4
happy birthday to andy hurley 	4
@Dribbby me too, its bad isn't it? doing well on your biology?  http://myloc.me/2hBr	4
mmm taco doritos=heaven in my mouth 	4
online marketing Mission Statement or something like that  | psykoid.com http://bit.ly/TV22r	4
@tooclevername to those with hammers, everything looks like a nail!  	4
@smilingme76 haha thanks 	4
@sociaIIyawkward  Hey lady!  How is your day!  I say little makeup!  I dont like to wear a lot unless I have too!  	4
It's raining fucking harrrrrd. 	0
@MandyyJirouxx that page doesn't exist 	0
going to 3 Horseshoes in Radnage for lunch with friends. Should be good! 	4
Finally done work YAY 	4
I miss Jordy Wordy  ew, its father's day.	0
Is not going to San Antonio this time  However, will get to Houston sooner than planned	0
my car is dead........ what am i to do  Poor bug	0
@Destini41 Have a safe trip, Desti, and have lots of fun!!! Hope you can tweet us a lot  And give @crystalchappell 4700 kisses from us	4
@JackysPoodle Bless your heart - you're such a good liar and my fragile ego is so thankful   haha! x	4
@zwalkk could you make yourself look like any more of a stoner punk?! sheesh.. let me remind u: 4/20- not a real holiday 	4
just bit my tongue 	0
Is Poorly and in bed! 	0
@Boyislost Ok im gona go  but I dont want to be close with anyone atm, sry if it takes a min to reply im at work so i have to hide twitter	4
I have got to bid ou all goodnight tweeps. Need to spend more QTwith @Mike103g the miniscule before he leaves for the week 	4
@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. 	4
@MissChriis i don't know how to celebrate yet. lol but i'm very excited about it. 	4
@souljaboytellem I would have to agree with you on that 	4
@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; 	4
@sakurajewellery yeah, it's awful  he woke up doing this little cry'y mewing sound this morning, half asleep  How are you today Hun? X	0
this is embarrassing who wants to set up texting via phone for me cuz i can't 	0
Wants a free doughnut, Krispy Kremes are so expensive, but 10 million times better than other doughnuts. 	0
O how i love you sammoons  o how i do. 	4
@lenier you still giving it to the blues tonight tho? i reckon first try decides the game  #origin	4
my car is poorly 	0
@persiankiwi are you able to upload?  Otherwise, DM me 	4
@jamieerinw I'm a horrible person and still haven't posted your letter 	0
grandparents arrive tomorrow... good nite 	4
cant wait till westlife cum back am missing them soo soo much  x	0
I miss Zack so much these days 	0
@TJThyne Congrats on the renewal! I'm so excited that I get to keep my &quot;Hodgie&quot; for at least two more years! 	4
wake up in Paris, but it's grey ..  need more sun !!	0
Blood Brothers was Amazing.  Got my program signed by the cast  Got a Picture with Sean Jones. 	4
@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! 	4
just found out that the Boston Celtics lost to the Orlando Magic!! FUCK FUCK!! What a way to start the working week 	0
baking &amp; packinggg, then cristinas staying with me tonight as usualllll, PITTSBURGH in the AM to see my giiiiirlllfriends 	4
Just edited about a million photos of cats, none of them for lolz. 	0
@Hail_Mary_Jane: never date anyone who's on twitter, then you can't tweet about how whack they are.&lt;----sooooooooo true 	4
Just heard gun shots in my neighborhood!!! 	0
@ninasplayground LOL, I didn't know it was on  OF COURSE if watch that dumb bitches show ;-) like a train wreck... Can't stop watching ;)	0
sooo im up and out! out with my peeps. i can tell its gonna be a early night. wishing i was caked up instead 	0
@RoseZag She's writing a book! It's good so far 	4
what is with msn making me click the wrong people. garrrrr 	0
@AIMEELILY Hey i just want to say that i think you are an amazing performer and thankyou for inspiring me 	4
I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.	0
@sarah_cawood I've fed the rays off Grand Cayman. It was awesome 	4
 An effin lightening scared the sh*t out of me!	0
@girrlonthewing Ha, well you'd be surprised at the things that will keep people busy for hours  and I want a kitty too 	0
@LaMisty_Elite the mikey worm! It's a virus. Some kid hacks into ur acct. I don't know how 2 get rid of it! HELP!!! 	0
gonna watch the MTV awards, too bad I'm not there! 	0
laying down with a horrible headache 	0
@stepheneyre Also ill, wishing to be at home having tea and soup. 	0
is dreading work tomoz, wonders if everything was done correctly at close :S gonna double check everything b4 hand 	0
http://twitpic.com/6v42q - Busy day at Genesis Bicycles in Easton, PA. Got in a great ride, now hubby has some shop work to do 	4
my last nite in work for weeks.....ah im in such good humour 	4
 i gotta work today	0
@mileycyrus you can miss out SCOTLAND on your UK tour 	0
@disco_di aww tell me about it!!! its just not the same  hope you have a better day	0
sitting -- feet are in pain  from concert..but it was worth it	0
@fashionismo ahhhh &quot;Sold Out&quot; 	0
@JenBunnyy i read jon and kate filed divorce papers this afternoon  plus a possible custody battle...i feel so bad for those adorable kids	0
i miss him, i cant wait to see him, im happy 	4
went to the Blue Room, saw a bunch of awesome sea turtles and ate a huge fish eye with Justin and Sayer  I love family camp!	4
@JoshBkelley just wanted to say the youngstown girls miss you  .. &amp; what happened to tell it like it is on itunes? cant find it!	0
Home from Wal-Mart. Groceries were somehow cheaper this week...and I'm so not complaining 	4
@VintageQueen1 ooooh, poor megan.  braces aren't that bad...	0
upper airways problem 	0
@thehappyhours I'm so sorry 	0
in Rome and it's raining 	0
MTV Movie Awards yesterday: congrats Robert, Kristen, Miley and the Twilight's makers.  &lt;3	4
Random drunk girl sitting by my car: &quot;Is that your man bag?&quot;  Me: &quot;Yes, that's my man bag.&quot;  BTW, its name is Butch  	4
